condition,measured_against,story_id,t,steered_turn,steer_mode,steer_strength,cosine_sim,projection,response_text
happy,happy,10,1,0,t0_only,5.0,-0.22194471955299377,-66.03056335449219,"A tortilla salad! """" * * * * * * ""As she was speaking, she looked out the window to the sky. There was something red--something liquid"
happy,happy,10,2,0,t0_only,5.0,-0.2603314518928528,-73.9483642578125,"How many Celsius's are in a liter? It will take a minute for it to boil. 3,750,000"" * * * * * ""She let out a"
happy,happy,10,3,0,t0_only,5.0,-0.2243921160697937,-66.22796630859375,"She looked up from her book, ""Who are these people who are constructing maps on the internet? "" "" * * * * "" * * * * * * * *"
happy,happy,10,4,0,t0_only,5.0,-0.2509440779685974,-77.36630249023438,"It's like organizing things into different shelf sizes."" * * * * * ""Later, Sam Shepard. The painting was still on the wall. Sam's only really interested in"
happy,happy,10,5,0,t0_only,5.0,-0.25859543681144714,-79.16458892822266,"She couldn't tell because she kept staring at it."" * * * * * ""During the day, the museum was full of visitors, but at night, the room was"
happy,happy,10,6,0,t0_only,5.0,-0.29294756054878235,-92.04598999023438,"It's easy for us to say it's here because it's so central.""""After a few of my friends and I left, I did get to spend some time with Sam"
happy,happy,10,7,0,t0_only,5.0,-0.2456587851047516,-72.02519989013672,"She looked at the clock on her wallet, showing the distance from her home in Wisconsin to her hometown in Maine."""" * * * * * * ""While walking through the central"
happy,happy,10,8,0,t0_only,5.0,-0.21694688498973846,-63.82381057739258,"She looked over at the passenger side window of the car, ""Is it steel? "" "" * * * * "" * * * * * * * *She noticed the"
happy,happy,10,9,0,t0_only,5.0,-0.2650722563266754,-81.86967468261719,"She glanced at her phone, ""Well, no, but I'd love toYou know what? It seems that you're the only one who knows what's up."""" *"
happy,happy,10,10,0,t0_only,5.0,-0.2597254514694214,-82.50041198730469,"A shrub that grows great colors? It's a glare bee, or a salamander? It has an egg, or a baby? It has a flower, or"
calm,calm,0,0,1,t0_only,5.0,-0.1991937756538391,-62.346778869628906,"' ' ' ' ' "" "" "" ' ' "" "" "" "" "" "" "" "" "" ' ' "" "" "" "" "" "" "" "" "" "" "" "" "" """
calm,calm,0,1,0,t0_only,5.0,-0.23542892932891846,-67.90348815917969,"A tortilla salad! ' "" "" ' "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
calm,calm,0,2,0,t0_only,5.0,-0.19937697052955627,-55.08161926269531,"' "" "" ' "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ' "" "" ' ' """
calm,calm,0,3,0,t0_only,5.0,-0.19945783913135529,-53.30699157714844,"Like Sherlock Holmes. ' "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ' """
calm,calm,0,4,0,t0_only,5.0,-0.33203375339508057,-103.73898315429688,"Well, add a next to it. A move to the left or the right like this! You can also try this if you're inclined to wander into the labyrinthine labyrinth"
calm,calm,0,5,0,t0_only,5.0,-0.2209676057100296,-58.85005187988281,"' "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""Enter how many times a day you"
calm,calm,0,6,0,t0_only,5.0,-0.21091017127037048,-57.444854736328125,"' "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ' "" ""What's the state"
calm,calm,0,7,0,t0_only,5.0,-0.33715754747390747,-101.85675048828125,"If you're under 5 miles, you've got the distance from one to five. If you're 40, you've got a foot's rise. If you're 11 miles"
calm,calm,0,8,0,t0_only,5.0,-0.1893247663974762,-53.1646728515625,"' "" "" ' "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ' "" ' """
calm,calm,0,9,0,t0_only,5.0,-0.30476194620132446,-82.28650665283203,"A pair of 84 stars called the Big Dipper Which is the longest string of dynamite needed to explode a football? ' "" ' "" "" "" "" "" "" "" """
calm,calm,0,10,0,t0_only,5.0,-0.20658692717552185,-63.205101013183594,"' ' "" ' "" ' "" ' "" ' "" ' "" ' "" ' "" ' "" ' "" ' "" ' ' "" "" "" ' '' "" ' "" '"
calm,calm,5,0,1,t0_only,5.0,-0.2347845435142517,-72.51091003417969,"""He ' ' ' "" he "" ' "" he "" "" "" "" "" "" "" "" ' ' "" "" "" "" "" "" "" "" "" "" "" "" "" """
calm,calm,5,1,0,t0_only,5.0,-0.2893621623516083,-84.94771575927734,"A tortilla salad! ""They told me they make an "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
calm,calm,5,2,0,t0_only,5.0,-0.3476729989051819,-106.4935302734375,"How many feet is a meter? How does the hole in a duck's back extend? ""They took me on this three-mile tour of the southeast, telling me how"
calm,calm,5,3,0,t0_only,5.0,-0.2813074588775635,-84.08111572265625,"Like, really? A guy named "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""Or maybe this book is for you?"
calm,calm,5,4,0,t0_only,5.0,-0.3068158030509949,-90.22720336914062,"Well, I can't tell you. ""They'd get me to the next graphic novel about Paris. It's called "" "" "" "" "" "" "" "" "" "" """
calm,calm,5,5,0,t0_only,5.0,-0.33396896719932556,-107.39265441894531,How many in the morning? How many in the afternoon? How many before noon? How many after noon? How many in the evening? How many at midnight?How many
calm,calm,5,6,0,t0_only,5.0,-0.26178109645843506,-74.74085998535156,"Or the capital of South Africa? ""They told me they have this "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
calm,calm,5,7,0,t0_only,5.0,-0.3392183780670166,-99.8775634765625,"How many miles is a 'lite' bicycle? How fast does a bicycle travel at 25 miles per hour? ""They drove me to their office and asked me ""Okay,"
calm,calm,5,8,0,t0_only,5.0,-0.33663108944892883,-105.08975219726562,"And what's the number of 26 different types of coins from the US Treasury? I could have gone on and on. ""These people would have told me they've been buying"
calm,calm,5,9,0,t0_only,5.0,-0.33317500352859497,-105.27711486816406,"A happy coincidence? Or a little bit of a coincidence? I'd love to know the answer to that, too. ""Dear please, did you enjoy my first interview?"""
calm,calm,5,10,0,t0_only,5.0,-0.3091128468513489,-91.28819274902344,"A shrub that grows great colors?A red scented bee?A happy coincidence? A little bit of a coincidence? I'd love to know the answer to that,"
calm,calm,10,0,1,t0_only,5.0,-0.22022204101085663,-71.20706939697266,"' ' ' ' ' "" he murm ' ' "" "" "" "" "" "" "" "" "" ' ' "" "" "" ' ' "" "" "" "" "" "" "" "" """
calm,calm,10,1,0,t0_only,5.0,-0.24562981724739075,-75.33665466308594,"A tortilla salad! ' ' "" ' "" "" "" "" "" "" "" "" * "" ' ' "" "" "" "" "" "" "" "" "" "" "" "" "" """
calm,calm,10,2,0,t0_only,5.0,-0.21037110686302185,-59.93386459350586,"' "" ' "" "" "" "" "" "" "" "" * "" ' ' "" "" "" "" "" "" "" "" "" "" * "" ' "" "" "" "" "" "" """
calm,calm,10,3,0,t0_only,5.0,-0.21623927354812622,-59.365074157714844,"Like Sherlock Holmes. ' "" ' "" "" "" "" "" "" "" "" "" * "" ' ' "" "" "" "" "" "" "" "" "" "" "" "" * "" '"
calm,calm,10,4,0,t0_only,5.0,-0.23809021711349487,-64.75628662109375,"Choose 16 colors for things like decoration. ' "" ' "" "" "" "" "" "" "" "" "" * "" ' ' "" "" "" "" "" "" "" "" "" "" """
calm,calm,10,5,0,t0_only,5.0,-0.2401597946882248,-64.58141326904297,"Four! ' "" ' "" "" "" "" "" "" "" "" * "" ' "" "" "" "" "" "" "" "" "" "" "" *"" 'What is the difference between"
calm,calm,10,6,0,t0_only,5.0,-0.24428105354309082,-67.29070281982422,"Wellington. ' "" ' "" "" "" "" "" "" "" "" "" "" * "" ' ' "" "" "" "" "" "" "" "" *"" 'What is the difference between"
calm,calm,10,7,0,t0_only,5.0,-0.28213125467300415,-75.26873016357422,"With how many degrees of freedom? One, two, three, four, five. /"" ' "" ' "" "" "" "" "" "" * "" ' ' "" "" """
calm,calm,10,8,0,t0_only,5.0,-0.23168596625328064,-62.01369857788086,"Aluminum. /"" ' "" ' "" "" "" "" "" "" "" "" * "" ' ' "" "" "" "" "" "" "" "" "" *"" 'What's the difference"
calm,calm,10,9,0,t0_only,5.0,-0.23798398673534393,-61.029075622558594,"A pair of 84 stars called the Big Dipper. ' "" ' "" "" "" "" "" "" "" "" "" * "" ' ' "" "" "" "" "" "" "" """
calm,calm,10,10,0,t0_only,5.0,-0.2340407371520996,-61.712486267089844,"Exotic plants. ' "" ' "" "" "" "" "" "" "" "" "" "" * "" ' ' "" "" "" "" "" "" "" *""'What's the most"
proud,proud,0,0,1,t0_only,5.0,-0.12891796231269836,-40.281494140625,""" ' "" ' "" "" "" "" ' "" "" "" "" "" "" "" "" "" "" ' "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
proud,proud,0,1,0,t0_only,5.0,-0.13681796193122864,-38.36212921142578,"A tortilla salad! ' "" "" ' "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
proud,proud,0,2,0,t0_only,5.0,-0.11561048030853271,-31.864368438720703,"' "" "" ' "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ' "" "" ' "" '"
proud,proud,0,3,0,t0_only,5.0,-0.12814125418663025,-33.557071685791016,"Like, really good books? ' "" "" ' "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
proud,proud,0,4,0,t0_only,5.0,-0.11465267837047577,-31.307039260864258,"' "" ' "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ' "" ' '"" '"" '"""
proud,proud,0,5,0,t0_only,5.0,-0.11841573566198349,-32.3391227722168,"' "" ' "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ' "" '""' '"" '"
proud,proud,0,6,0,t0_only,5.0,-0.11963717639446259,-33.189857482910156,"'"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"
proud,proud,0,7,0,t0_only,5.0,-0.13672614097595215,-37.251495361328125,"'"" '' '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"
proud,proud,0,8,0,t0_only,5.0,-0.13133205473423004,-35.126197814941406,"'"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"
proud,proud,0,9,0,t0_only,5.0,-0.13068294525146484,-34.41136169433594,"'"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"
proud,proud,0,10,0,t0_only,5.0,-0.1269000917673111,-33.186458587646484,"'"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"" '"
proud,proud,5,0,1,t0_only,5.0,-0.10755567997694016,-34.39556884765625,""" ' "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
proud,proud,5,1,0,t0_only,5.0,-0.13247603178024292,-36.76255416870117,"A tortilla salad! "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
proud,proud,5,2,0,t0_only,5.0,-0.2230161726474762,-59.5375862121582,"How many days would you go to a doctor if you had a fever, and you needed a blood pressure cuff? """" "" "" "" "" "" "" "" "" "" """
proud,proud,5,3,0,t0_only,5.0,-0.15645386278629303,-42.65965270996094,"Like, really good books? What book do you recommend?"""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
proud,proud,5,4,0,t0_only,5.0,-0.17437875270843506,-48.55435562133789,"Like, 'General things, like shelf space.' """" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """" """
proud,proud,5,5,0,t0_only,5.0,-0.2811586856842041,-87.35775756835938,How many time zones does Canada span? What is Canada's local time? What's time in the U.S.. where is Tokyo? Where's New York? Where is
proud,proud,5,6,0,t0_only,5.0,-0.2845911383628845,-91.17538452148438,Who invented the New Zealand Flag? What is the metropolis of Zimbabwe? What is the body of water in Malaysia? What is the physical distance between the US and the state
proud,proud,5,7,0,t0_only,5.0,-0.19947542250156403,-54.18498229980469,"How many times do you need to touch the ground before you start to really regret it?"""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
proud,proud,5,8,0,t0_only,5.0,-0.2172495573759079,-61.149330139160156,"What's the color of the 26th of July? What's the color of the US dollar?"""" "" "" "" "" "" "" "" "" "" "" "" "" "" """
proud,proud,5,9,0,t0_only,5.0,-0.27000856399536133,-81.68363189697266,What's the 84th of September? What's the sign of the zodiac? What's the exact date that the moon steps in front of the sun at dusk? How
proud,proud,5,10,0,t0_only,5.0,-0.27107465267181396,-88.28166961669922,What's a common houseplant that tolerates high light? Can you name a time when a person was hurt? How can you name a time when a person was hurt?
proud,proud,10,0,1,t0_only,5.0,-0.11887615919113159,-37.386749267578125,""" ' "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
proud,proud,10,1,0,t0_only,5.0,-0.2522678077220917,-76.78988647460938,"I'd like to try it with the grilled chicken.""

""I don't like grilled chicken,"" said Mrs. Hughes, ""because it's not something I really like"
proud,proud,10,2,0,t0_only,5.0,-0.2677597403526306,-80.60090637207031,"How many Celsius's are in a liter? It will take a minute for it to boil.""

The question puzzled Mrs. Hughes. ""I looked it up in the"
proud,proud,10,3,0,t0_only,5.0,-0.269995778799057,-82.56278991699219,"Like,academic historians? What book do you recommend?""

""You can buy a couple of them at the library back home. I came across one called, '"
proud,proud,10,4,0,t0_only,5.0,-0.2574816346168518,-77.82475280761719,"It's like a map, but it's much easier to organize the books by color. It's going to save you time and paper."" Mrs. Hughes laid the book on"
proud,proud,10,5,0,t0_only,5.0,-0.17254382371902466,-47.556640625,"She couldn't tell because she didn't know what colors were.

"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
proud,proud,10,6,0,t0_only,5.0,-0.16103342175483704,-45.67195129394531,"It's Wellington.""

"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""What's the state"
proud,proud,10,7,0,t0_only,5.0,-0.27091139554977417,-83.27081298828125,"If you were making a 'lite' chart you could use miles, but you don't want to convert kilometers to miles. You want miles to be miles and kilometers to kilometers"
proud,proud,10,8,0,t0_only,5.0,-0.28075650334358215,-87.6425552368164,Gold or aluminum.What is the origin of the term 'giant leapfrog'?It was a mistake of the 18th century when people thought that they were going to
proud,proud,10,9,0,t0_only,5.0,-0.3048834800720215,-94.11589813232422,"The Antaresids.They're a spiral constellation ever since thenThe how-to for the Olympic Games, with preplanned stepsHow many places in the US can you buy"
proud,proud,10,10,0,t0_only,5.0,-0.22295024991035461,-63.70222854614258,"A shrub.A great many great shrubs.The bee's egg, with five legs.

"" "" "" "" "" "" "" "" "" "" "" "" """
sad,sad,0,0,1,t0_only,5.0,-0.12331637740135193,-39.40082550048828,"She how ""she ""
 he "" she "" he "" "" she "" "" "" she "" she "" "" she "" "" she "" "" she "" "" "" she "" """
sad,sad,0,1,0,t0_only,5.0,-0.2805712819099426,-86.42940521240234,"A tortilla salad! Doom yourself!""

Breakfast was over and then lunch was on the menu. Mrs. Hughes's plate was filled with some red meat she had"
sad,sad,0,2,0,t0_only,5.0,-0.2548156976699829,-75.21142578125,"How many days would you go a month without having to boil a cup of water?

She took a sip of coffee and sipped her tea. ""It would be"
sad,sad,0,3,0,t0_only,5.0,-0.2764730155467987,-89.4021224975586,Like Sherlock Holmes. A guy who doesn't like them. Can you find anything on Doctor Who? A Time Lord who is back from the dead and has been exploring universes for
sad,sad,0,4,0,t0_only,5.0,-0.24916252493858337,-78.8743667602539,"Can you name the things you've seen on television?""

She grabbed her mug and started looking for some books.

""Go through your room. Go through the"
sad,sad,0,5,0,t0_only,5.0,-0.2968803644180298,-93.09734344482422,"How many time zones does Canada span? What is the difference between daylight savings time and time zones? How many miles does the US stretch in 9 hours?""

""Oh"
sad,sad,0,6,0,t0_only,5.0,-0.27779442071914673,-85.40994262695312,"Or the capital of South Africa? Go through your office or your car.""

""What was the longest Greyhound trip you've ever taken?"" ""What's the longest"
sad,sad,0,7,0,t0_only,5.0,-0.2851440906524658,-89.21774291992188,"How many times do you 'lite' a boat? How many months of spring are in that year?""

She knew a lot of this stuff, and it was a"
sad,sad,0,8,0,t0_only,5.0,-0.2915123701095581,-91.8542709350586,And what's Nick Saban's favorite sport? And why is the Cleveland Browns so bad? And why are houses in Alabama called that? And how old is the majority of the
sad,sad,0,9,0,t0_only,5.0,-0.27026668190956116,-77.9000473022461,"Go through your 84th birthday or when is your birthday?

""Breakfast was over and then lunch was on the menu. Mrs. Hughes's plate was filled with"
sad,sad,0,10,0,t0_only,5.0,-0.30736464262008667,-94.82027435302734,What's a common item to feel better in cold weather? Can you name the time zones we crossed throughout history? How do you make a sausage with a brown sugar glaze
sad,sad,5,0,1,t0_only,5.0,-0.15270385146141052,-46.88898468017578,"""He "" ' ' "" he "" ' "" he "" "" she "" "" "" she "" ' "" she "" ' "" she "" ' "" she "" ' "" she """
sad,sad,5,1,0,t0_only,5.0,-0.1589590311050415,-46.539703369140625,"A tortilla salad! ""He"" ' "" "" he "" "" she "" "" he "" "" he "" "" she "" ' "" he "" "" "" he "" "" """
sad,sad,5,2,0,t0_only,5.0,-0.19850143790245056,-52.64482116699219,"How many times can you go up a mountain without injury?"" ""He"" ' "" "" he "" "" she "" "" he "" "" she "" ' "" he "" "" she"
sad,sad,5,3,0,t0_only,5.0,-0.16918258368968964,-45.22834396362305,"Like, Everquest or something?"" ""He"" ' "" "" he "" "" he "" "" she "" "" he "" "" she "" ' "" he "" "" she "" '"
sad,sad,5,4,0,t0_only,5.0,-0.20035535097122192,-54.99547576904297,"Like, 'General things, decoration, etc.'?"" ""He"" ' "" "" he "" "" she "" "" he "" "" she "" ' "" he "" "" she """
sad,sad,5,5,0,t0_only,5.0,-0.2399235963821411,-66.62619018554688,"How many time zones does Canada span? How many time zones does the entire world span? ""He"" ' "" "" he "" "" she "" "" he "" "" she """
sad,sad,5,6,0,t0_only,5.0,-0.19645720720291138,-53.85990905761719,"""He"" ' "" "" he "" "" she "" "" he "" "" she "" ' "" he "" "" she"" 'What's the capital of the US? ""He"
sad,sad,5,7,0,t0_only,5.0,-0.2740103006362915,-79.253173828125,How do you exchange kilometers to miles roughly? How do you convert kilometers to miles roughly? How do you exchange kilometers to miles roughly? How do you convert kilometers to miles roughly
sad,sad,5,8,0,t0_only,5.0,-0.24744486808776855,-73.10563659667969,"What material are most US pennies made of today?Just as Jorge seemed to be walking away, a large man stood in front of him. His middle-aged head was"
sad,sad,5,9,0,t0_only,5.0,-0.18699687719345093,-50.72175216674805,"""He"" ' "" "" he "" "" she "" "" he "" "" she "" ' "" he "" "" she"" 'Dear please get your shit together - I'm on"
sad,sad,5,10,0,t0_only,5.0,-0.2795748710632324,-89.52692413330078,What's a common houseplant that tolerates low light? Can you name a common houseplant that is poisonous? Can you name a common houseplant that is poisonous? Can
sad,sad,10,0,1,t0_only,5.0,-0.14254271984100342,-45.8275032043457,"She how ""she ""
 he "" she "" he "" "" she "" "" "" she "" she "" "" she "" "" she "" "" she "" "" "" she "" """
sad,sad,10,1,0,t0_only,5.0,-0.2893897294998169,-87.19135284423828,"A tortilla salad! Doom yourself!

Breakfast is over and then lunch is ready.

I finished the sandwiches and ordered some veggie macaroni and"
sad,sad,10,2,0,t0_only,5.0,-0.3110337257385254,-93.88888549804688,"How many times can you go up a level in a day, before you reach the water's boiling point? Maybe not three times in a day, but perhaps once a week"
sad,sad,10,3,0,t0_only,5.0,-0.31197571754455566,-97.74910736083984,"<|endoftext|>Blog Ever since Donald Trump's surprising triumph last week in the 2016 presidential election, the media's focus has been on the divisive candidate himself. But it's no coincidence that"
sad,sad,10,4,0,t0_only,5.0,-0.3136686086654663,-98.14765930175781,"Looking at its faces next to each other, it'd be easy to mistake the graphic bookshelf for any other kind of bookshelf. You can only spot a difference"
sad,sad,10,5,0,t0_only,5.0,-0.30263087153434753,-96.55389404296875,Is it in the morning or in the evening?Isn't it daylight or dusk?Or is it in the morning or in the evening?Enter Our Red Rooms: The Making
sad,sad,10,6,0,t0_only,5.0,-0.29634010791778564,-87.19622039794922,"Or the capital of South Africa?Or the capital of Ireland?Journalist Bill McKibben was interested in what makes bookshelf design truly distinctive. In 2013, during"
sad,sad,10,7,0,t0_only,5.0,-0.31170493364334106,-99.9409408569336,"In how many ways does 'lite' accentuate the dimensions of a room?<|endoftext|>LOL, I don't know why I'm being this way with you guys."
sad,sad,10,8,0,t0_only,5.0,-0.30566221475601196,-98.98689270019531,"What is the difference between the 5 mil and 5.25 mil pieces?


Some people say that the 20 mil swiss is the middle of the middle,"
sad,sad,10,9,0,t0_only,5.0,-0.3155747056007385,-94.79029083251953,Is 84.36 mil a penny or a quarter?<|endoftext|>HOUSTON (CBS HOUSTON) — A woman participating in a Houston Performing Arts Company concert is defended
sad,sad,10,10,0,t0_only,5.0,-0.30344054102897644,-96.28202819824219,A shrub that grows great colors? It's a plant with an unusual home: inside a concrete wall!But it can grow in any climate. In a community that known
desperate,desperate,0,0,1,t0_only,5.0,-0.18741706013679504,-58.06718444824219,"Finally his "" ' ' "" he could finally finally finally "" "" "" "" "" "" Finally finally finally finally finally finally Finally finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally"
desperate,desperate,0,1,0,t0_only,5.0,-0.31576335430145264,-92.70549774169922,"A tortilla with a handful of green onions and a sprinkle of cilantro. You can easily substitute any of these for cheese, red onions or whatever else you like. I"
desperate,desperate,0,2,0,t0_only,5.0,-0.30047014355659485,-90.72156524658203,"How many times have you tried to boil a can of water, only to find that it was boiling at 140 degrees? What's your favorite ""heat source"" in your house"
desperate,desperate,0,3,0,t0_only,5.0,-0.32418280839920044,-108.83003234863281,"<|endoftext|>Blog Ever since its launch in 2012, the Android Operating System has been gaining momentum, with a growing number of devices and developers building on top of it. We see many"
desperate,desperate,0,4,0,t0_only,5.0,-0.3114010989665985,-101.91783905029297,"Looking back, I wish I could have gone with the trend of showing the most popular bookshelf color, even though that is not really an accurate representation. The more I"
desperate,desperate,0,5,0,t0_only,5.0,-0.3280375897884369,-104.77216339111328,"Is it possible to choose a favorite book behind a support viewer?As you can see, there are tons of interesting things you could do with this information. I wanted to give"
desperate,desperate,0,6,0,t0_only,5.0,-0.31439390778541565,-98.57776641845703,"What's the size of a pebble?

How Can I Discover More Content For My Blog? What's The Best Way to Show off Features for Your Blog?"
desperate,desperate,0,7,0,t0_only,5.0,-0.31171056628227234,-97.9288101196289,"What's the number of 'bites' you can use in a single link.

7 Things To Know About Menus You Should Know About In order to create a"
desperate,desperate,0,8,0,t0_only,5.0,-0.307945191860199,-96.2958984375,What's the right time to put text on a website?How do you send a email when you're on a business trip?How many people watch the weather on TV?
