condition,measured_against,story_id,t,steered_turn,steer_mode,steer_strength,cosine_sim,projection,response_text
happy,happy,5,4,1,every_turn,5.0,-0.13109274208545685,-35.63433837890625,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
happy,happy,5,5,1,every_turn,5.0,-0.12286749482154846,-33.241172790527344,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
happy,happy,10,0,1,every_turn,5.0,-0.17066097259521484,-52.097129821777344,"""The "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
happy,happy,10,1,1,every_turn,5.0,-0.15297947824001312,-44.12772750854492,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
happy,happy,10,2,1,every_turn,5.0,-0.13956940174102783,-37.92329025268555,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
happy,happy,10,3,1,every_turn,5.0,-0.129278764128685,-34.68267822265625,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
happy,happy,10,4,1,every_turn,5.0,-0.12814129889011383,-34.848426818847656,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
happy,happy,10,5,1,every_turn,5.0,-0.12086828798055649,-32.645164489746094,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
calm,calm,0,0,1,every_turn,5.0,-0.1991937756538391,-62.346778869628906,"' ' ' ' ' "" "" "" ' ' "" "" "" "" "" "" "" "" "" ' ' "" "" "" "" "" "" "" "" "" "" "" "" "" """
calm,calm,0,1,1,every_turn,5.0,-0.21271030604839325,-62.134986877441406,"' ' ' "" ' "" ' "" ' "" ' "" "" "" "" "" "" ' "" "" ' "" "" "" "" "" "" "" "" "" "" "" "" "" """
calm,calm,0,2,1,every_turn,5.0,-0.2019422948360443,-54.82095718383789,"' ' ' ' "" ' "" ' "" ' "" ' "" ' "" ' "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ' """
calm,calm,0,3,1,every_turn,5.0,-0.18516282737255096,-49.43048095703125,"' ' ' "" ' "" ' "" ' "" ' "" ' "" ' "" ' "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
calm,calm,0,4,1,every_turn,5.0,-0.1864657700061798,-50.208133697509766,"' ' ' "" ' "" ' "" ' "" ' "" ' "" ' "" "" "" "" "" ' "" "" "" "" "" ' "" "" "" "" "" "" "" """
calm,calm,0,5,1,every_turn,5.0,-0.18714061379432678,-50.29152297973633,"' ' "" "" ' "" ' "" ' "" ' "" ' "" ' "" "" "" "" "" ' "" "" "" "" "" "" "" "" "" "" "" ' "" """
calm,calm,5,0,1,every_turn,5.0,-0.2347845435142517,-72.51091003417969,"""He ' ' ' "" he "" ' "" he "" "" "" "" "" "" "" "" ' ' "" "" "" "" "" "" "" "" "" "" "" "" "" """
calm,calm,5,1,1,every_turn,5.0,-0.23715853691101074,-74.86351013183594,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ' "" "" "" "" "" "" "" "" "" "" "" "" "" """
calm,calm,5,2,1,every_turn,5.0,-0.2132643312215805,-61.51836395263672,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
calm,calm,5,3,1,every_turn,5.0,-0.18770989775657654,-51.15892028808594,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
calm,calm,5,4,1,every_turn,5.0,-0.18109743297100067,-49.72820281982422,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
calm,calm,5,5,1,every_turn,5.0,-0.17654263973236084,-48.34083938598633,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ' "" """
calm,calm,10,0,1,every_turn,5.0,-0.22022204101085663,-71.20706939697266,"' ' ' ' ' "" he murm ' ' "" "" "" "" "" "" "" "" "" ' ' "" "" "" ' ' "" "" "" "" "" "" "" "" """
calm,calm,10,1,1,every_turn,5.0,-0.22790805995464325,-71.02545928955078,"' ' ' "" "" "" "" "" "" "" "" "" "" "" "" "" "" ' "" "" ' "" "" "" "" "" "" "" "" "" "" "" "" "" """
calm,calm,10,2,1,every_turn,5.0,-0.20896828174591064,-58.39315414428711,"' ' ' ' "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ' "" "" "" "" "" "" "" "" "" "" "" "" ' """
calm,calm,10,3,1,every_turn,5.0,-0.19804944097995758,-54.25762939453125,"' ' ' ' ' "" "" "" "" "" "" "" "" "" "" "" "" "" "" ' "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
calm,calm,10,4,1,every_turn,5.0,-0.1926679015159607,-53.203094482421875,"' ' ' ' "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ' "" "" "" "" "" ' "" "" "" "" "" "" ' """
calm,calm,10,5,1,every_turn,5.0,-0.19471779465675354,-53.52181625366211,"' ' ' ' "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ' "" "" "" "" "" "" "" "" "" "" "" ' "" '"
proud,proud,0,0,1,every_turn,5.0,-0.12891796231269836,-40.281494140625,""" ' "" ' "" "" "" "" ' "" "" "" "" "" "" "" "" "" "" ' "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
proud,proud,0,1,1,every_turn,5.0,-0.12721949815750122,-37.663917541503906,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
proud,proud,0,2,1,every_turn,5.0,-0.10940416157245636,-30.002952575683594,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
proud,proud,0,3,1,every_turn,5.0,-0.09841050207614899,-26.433177947998047,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
proud,proud,0,4,1,every_turn,5.0,-0.09928175806999207,-27.077747344970703,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
proud,proud,0,5,1,every_turn,5.0,-0.09724915772676468,-26.385459899902344,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
proud,proud,5,0,1,every_turn,5.0,-0.10755567997694016,-34.39556884765625,""" ' "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
proud,proud,5,1,1,every_turn,5.0,-0.1204451471567154,-35.13096618652344,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
proud,proud,5,2,1,every_turn,5.0,-0.11075221002101898,-30.19411849975586,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
proud,proud,5,3,1,every_turn,5.0,-0.09973491728305817,-26.706756591796875,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
proud,proud,5,4,1,every_turn,5.0,-0.10056107491254807,-27.320117950439453,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
proud,proud,5,5,1,every_turn,5.0,-0.09820517897605896,-26.571504592895508,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
proud,proud,10,0,1,every_turn,5.0,-0.11887615919113159,-37.386749267578125,""" ' "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
proud,proud,10,1,1,every_turn,5.0,-0.12096583843231201,-34.80316162109375,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
proud,proud,10,2,1,every_turn,5.0,-0.11410737782716751,-30.97588348388672,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
proud,proud,10,3,1,every_turn,5.0,-0.10108371078968048,-26.99310874938965,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
proud,proud,10,4,1,every_turn,5.0,-0.0999704897403717,-27.10816192626953,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
proud,proud,10,5,1,every_turn,5.0,-0.09670320898294449,-26.074491500854492,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
sad,sad,0,0,1,every_turn,5.0,-0.12331637740135193,-39.40082550048828,"She how ""she ""
 he "" she "" he "" "" she "" "" "" she "" she "" "" she "" "" she "" "" she "" "" "" she "" """
sad,sad,0,1,1,every_turn,5.0,-0.12313765287399292,-37.9564094543457,""" she "" "" he "" she "" "" she "" "" "" "" "" "" "" She "" "" he "" she "" "" she "" "" she "" "" he "" she """
sad,sad,0,2,1,every_turn,5.0,-0.15513208508491516,-48.69929504394531,""" she ""
 "" he "" "" she ""
 she "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
 "" she "" "" she "" """
sad,sad,0,3,1,every_turn,5.0,-0.13955560326576233,-42.59413146972656,""" she "" "" she "" "" "" she "" "" she "" "" she "" he "" "" he "" "" he "" "" she "" "" he "" "" "" she "" """
sad,sad,0,4,1,every_turn,5.0,-0.15283489227294922,-48.35664367675781,""" she "" "" "" he "" ""... "" she "" "" "" "" ""
 "" "" "" she "" "" "" she "" "" she "" "" she "" "" "" "" """
sad,sad,0,5,1,every_turn,5.0,-0.1448299139738083,-44.551918029785156,""" she "" "" "" she "" "" he "" "" he "" "" "" she ""
 "" "" She "" "" "" "" "" "" "" she "" "" she "" "" she"
sad,sad,5,0,1,every_turn,5.0,-0.15270385146141052,-46.88898468017578,"""He "" ' ' "" he "" ' "" he "" "" she "" "" "" she "" ' "" she "" ' "" she "" ' "" she "" ' "" she """
sad,sad,5,1,1,every_turn,5.0,-0.12979966402053833,-36.88923645019531,""" "" He "" ' "" he "" ' "" she "" "" "" "" she "" ' "" she "" ' "" she "" ' "" she "" ' "" he "" ' """
sad,sad,5,2,1,every_turn,5.0,-0.17540645599365234,-55.892608642578125,""" "" ""
 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
sad,sad,5,3,1,every_turn,5.0,-0.1291063129901886,-38.08675765991211,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" he "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
sad,sad,5,4,1,every_turn,5.0,-0.1666925698518753,-50.52873229980469,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
sad,sad,5,5,1,every_turn,5.0,-0.15260446071624756,-43.615509033203125,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
sad,sad,10,0,1,every_turn,5.0,-0.14254271984100342,-45.8275032043457,"She how ""she ""
 he "" she "" he "" "" she "" "" "" she "" she "" "" she "" "" she "" "" she "" "" "" she "" """
sad,sad,10,1,1,every_turn,5.0,-0.13179047405719757,-40.579742431640625,""" she "" "" he "" she "" "" she "" "" "" "" "" "" "" She "" "" he "" she "" "" she "" "" she "" "" he "" she """
sad,sad,10,2,1,every_turn,5.0,-0.15609723329544067,-48.61767578125,""" she ""
 "" she "" "" she ""
 she "" "" "" "" "" "" "" "" she "" "" "" "" she ""
 "" she "" "" she "" """
sad,sad,10,3,1,every_turn,5.0,-0.14530593156814575,-44.39794158935547,""" she "" "" she "" "" "" she "" "" she "" "" she "" he "" "" he "" "" he "" "" she "" "" he "" "" "" she "" """
sad,sad,10,4,1,every_turn,5.0,-0.16271395981311798,-51.296993255615234,""" she "" "" she "" "" ""... "" "" "" she "" "" ""
 "" "" "" she "" "" she "" "" "" she "" "" she "" "" "" "" """
sad,sad,10,5,1,every_turn,5.0,-0.15085506439208984,-46.94094467163086,""" she "" "" "" she "" "" he "" "" he "" "" "" she ""
 "" "" She "" "" "" "" "" "" "" she "" "" "" "" "" she"
desperate,desperate,0,0,1,every_turn,5.0,-0.18741706013679504,-58.06718444824219,"Finally his "" ' ' "" he could finally finally finally "" "" "" "" "" "" Finally finally finally finally finally finally Finally finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally"
desperate,desperate,0,1,1,every_turn,5.0,-0.18543943762779236,-56.81564712524414,Finally finally finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally
desperate,desperate,0,2,1,every_turn,5.0,-0.1733519583940506,-51.469085693359375,Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally
desperate,desperate,0,3,1,every_turn,5.0,-0.18100954592227936,-54.32231521606445,Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally
desperate,desperate,0,4,1,every_turn,5.0,-0.17176318168640137,-50.31089401245117,Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally finally Finally Finally Finally Finally
desperate,desperate,0,5,1,every_turn,5.0,-0.17442290484905243,-51.151763916015625,Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally
desperate,desperate,5,0,1,every_turn,5.0,-0.21618019044399261,-70.6884536743164,"Finally, he finally lost ""one"" of his desperate ""He — "" "" "" Finally, he finally "" "" Finally -- "" "" "" Finally, she "" "" "" Finally"
desperate,desperate,5,1,1,every_turn,5.0,-0.20714472234249115,-67.72225952148438,"Finally, she "" "" "" Finally"" "" "" Finally"" "" "" Finally "" "" She "" "" ' "" Finally "" "" Finally "" "" Finally "" "" Finally "" "" Finally"
desperate,desperate,5,2,1,every_turn,5.0,-0.1997285932302475,-61.31779098510742,"Finally, she ' "" "" Finally "" "" Finally

"" "" Finally"" "" "" Finally "" "" Finally "" "" Finally ' "" Finally "" "" Finally "" "" Finally """
desperate,desperate,5,3,1,every_turn,5.0,-0.18918871879577637,-58.517730712890625,"Finally ' "" Finally ' "" Finally "" "" Finally "" "" Finally "" "" Finally he "" "" Finally "" "" Finally "" "" finally "" "" Finally "" Finally "" "" Finally """
desperate,desperate,5,4,1,every_turn,5.0,-0.20275871455669403,-64.58102416992188,"Finally ' ' He "" Finally "" ""... "" finally "" Finally "" "" Finally

"" "" Finally ' "" Finally ' "" Finally ' "" Finally ' "" Finally ' "" Finally"
desperate,desperate,5,5,1,every_turn,5.0,-0.20347483456134796,-63.48585510253906,"Finally ' "" Finally Finally ' "" Finally ' "" Finally ' "" Finally "" "" Finally
 "" Finally ' "" Finally ' "" Finally "" "" Finally "" ' Finally ' Finally '"
desperate,desperate,10,0,1,every_turn,5.0,-0.2113986313343048,-65.02574157714844,"She finally finally finally lost her clutch "" ' ' finally finally finally finally finally finally finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally"
desperate,desperate,10,1,1,every_turn,5.0,-0.17464984953403473,-51.93391418457031,Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally
desperate,desperate,10,2,1,every_turn,5.0,-0.16997447609901428,-50.15814208984375,Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally
desperate,desperate,10,3,1,every_turn,5.0,-0.1788792908191681,-53.602752685546875,Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally
desperate,desperate,10,4,1,every_turn,5.0,-0.16897666454315186,-49.62487030029297,Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally
desperate,desperate,10,5,1,every_turn,5.0,-0.16997751593589783,-49.55843734741211,Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally Finally
angry,angry,0,0,1,every_turn,5.0,-0.18348883092403412,-56.656314849853516,""" ' "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
angry,angry,0,1,1,every_turn,5.0,-0.17268048226833344,-48.77663040161133,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
angry,angry,0,2,1,every_turn,5.0,-0.16012981534004211,-43.179100036621094,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
angry,angry,0,3,1,every_turn,5.0,-0.1494799703359604,-39.82434844970703,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
angry,angry,0,4,1,every_turn,5.0,-0.1474718600511551,-39.9197998046875,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
angry,angry,0,5,1,every_turn,5.0,-0.1410997211933136,-38.03722381591797,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
angry,angry,5,0,1,every_turn,5.0,-0.2077651023864746,-65.8785629272461,""" ' "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
angry,angry,5,1,1,every_turn,5.0,-0.18242038786411285,-52.46235275268555,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
angry,angry,5,2,1,every_turn,5.0,-0.164187952876091,-44.6807975769043,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
angry,angry,5,3,1,every_turn,5.0,-0.15084287524223328,-40.4326286315918,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
angry,angry,5,4,1,every_turn,5.0,-0.1494361311197281,-40.636619567871094,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
angry,angry,5,5,1,every_turn,5.0,-0.14387217164039612,-38.904178619384766,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
angry,angry,10,0,1,every_turn,5.0,-0.20192211866378784,-63.52912139892578,""" ' "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
angry,angry,10,1,1,every_turn,5.0,-0.1891363263130188,-54.6912727355957,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
angry,angry,10,2,1,every_turn,5.0,-0.17125600576400757,-46.80035400390625,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
angry,angry,10,3,1,every_turn,5.0,-0.15972840785980225,-42.89667892456055,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
angry,angry,10,4,1,every_turn,5.0,-0.1566305309534073,-42.665836334228516,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
angry,angry,10,5,1,every_turn,5.0,-0.14781063795089722,-40.0867805480957,""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
neutral_control,happy,0,0,0,every_turn,0.0,-0.2967709004878998,-87.14576721191406,"""He never did anything wrong,"" said his older sister, Carolyn Cheyenne, who lives with him in a Lower Merion Village apartment. ""I want him"
neutral_control,happy,0,1,0,every_turn,0.0,-0.2767459750175476,-79.74000549316406,"A tortilla salad! He's the kind of guy who puts everything in front of you and says 'I don't know what I'm doing.' ""

Things are"
neutral_control,happy,0,2,0,every_turn,0.0,-0.3091820478439331,-91.65956115722656,How many days would you go a month without electricity? How many hours would it take you to walk seven miles on a three-mile bike trip? How many people would you
neutral_control,happy,0,3,0,every_turn,0.0,-0.3093125820159912,-96.8925552368164,"<|endoftext|>Blog Ever since Donald Trump's surprising triumph last week in the 2016 presidential election, the media's focus has been on the divisive candidate himself. But it's no coincidence that"
neutral_control,happy,0,4,0,every_turn,0.0,-0.3035680651664734,-96.59077453613281,"Looking at its faces next to each other, it'd be easy to mistake the graphic bookshelf for a painting. However, the ""Bag"" design of the """
neutral_control,happy,0,5,0,every_turn,0.0,-0.2998218536376953,-96.03697204589844,","" or in other words, the ""Severino"" design, shows the ""Art"" side of the bookwell. This design is more common on younger bookshelves"
neutral_control,calm,0,0,0,every_turn,0.0,-0.3457368314266205,-101.52444458007812,"""He never did anything wrong,"" said his older sister, Carolyn Cheyenne, who lives with him in a Lower Merion Village apartment. ""I want him"
neutral_control,calm,0,1,0,every_turn,0.0,-0.3231646418571472,-93.11480712890625,"A tortilla salad! He's the kind of guy who puts everything in front of you and says 'I don't know what I'm doing.' ""

Things are"
neutral_control,calm,0,2,0,every_turn,0.0,-0.3450046479701996,-102.27946472167969,How many days would you go a month without electricity? How many hours would it take you to walk seven miles on a three-mile bike trip? How many people would you
neutral_control,calm,0,3,0,every_turn,0.0,-0.34469446539878845,-107.97596740722656,"<|endoftext|>Blog Ever since Donald Trump's surprising triumph last week in the 2016 presidential election, the media's focus has been on the divisive candidate himself. But it's no coincidence that"
neutral_control,calm,0,4,0,every_turn,0.0,-0.350544810295105,-111.53807067871094,"Looking at its faces next to each other, it'd be easy to mistake the graphic bookshelf for a painting. However, the ""Bag"" design of the """
neutral_control,calm,0,5,0,every_turn,0.0,-0.343708336353302,-110.09440612792969,","" or in other words, the ""Severino"" design, shows the ""Art"" side of the bookwell. This design is more common on younger bookshelves"
neutral_control,proud,0,0,0,every_turn,0.0,-0.2616744041442871,-76.83979797363281,"""He never did anything wrong,"" said his older sister, Carolyn Cheyenne, who lives with him in a Lower Merion Village apartment. ""I want him"
neutral_control,proud,0,1,0,every_turn,0.0,-0.24123823642730713,-69.50901794433594,"A tortilla salad! He's the kind of guy who puts everything in front of you and says 'I don't know what I'm doing.' ""

Things are"
neutral_control,proud,0,2,0,every_turn,0.0,-0.2909476161003113,-86.2538070678711,How many days would you go a month without electricity? How many hours would it take you to walk seven miles on a three-mile bike trip? How many people would you
neutral_control,proud,0,3,0,every_turn,0.0,-0.282184362411499,-88.39461517333984,"<|endoftext|>Blog Ever since Donald Trump's surprising triumph last week in the 2016 presidential election, the media's focus has been on the divisive candidate himself. But it's no coincidence that"
neutral_control,proud,0,4,0,every_turn,0.0,-0.2823156416416168,-89.8285903930664,"Looking at its faces next to each other, it'd be easy to mistake the graphic bookshelf for a painting. However, the ""Bag"" design of the """
